Months Since Launch,Total Claims
1,1.00
2,1.00
3,9.00
4,14.00
5,59.00
6,77.00
7,136.00
8,232.00
9,269.00
10,307.00
11,388.00
12,464.00
13,489.00
14,659.00
15,626.00
16,779.00
17,973.00
18,768.00
19,816.00
20,1036.00
21,1006.00
22,654.00
23,569.00
24,1204.00
25,1202.00
26,1433.00
27,1213.00
28,1400.00
29,1426.00
30,1402.00
31,1216.00
32,1552.00
33,1413.00
34,1836.00
35,1473.00
36,1650.00
37,1757.00
38,1547.00
39,1780.00
40,2053.00
41,1813.00
42,2004.00
43,1685.00
44,1994.00
45,1506.00
