SubmissionDate - Year,YearQtr,YearMonth,Rating,Rating Count,Average of IsPositive
2018,2018 Qtr 1,2018 01,1,3,0%
2018,2018 Qtr 1,2018 01,3,1,0%
2018,2018 Qtr 1,2018 01,4,2,100%
2018,2018 Qtr 1,2018 01,5,13,100%
2018,2018 Qtr 1,2018 02,4,1,100%
2018,2018 Qtr 1,2018 02,5,2,100%
2018,2018 Qtr 1,2018 03,1,1,0%
2018,2018 Qtr 1,2018 03,2,1,0%
2018,2018 Qtr 1,2018 03,4,2,100%
2018,2018 Qtr 1,2018 03,5,8,100%
2018,2018 Qtr 2,2018 04,1,1,0%
2018,2018 Qtr 2,2018 04,2,1,0%
2018,2018 Qtr 2,2018 04,3,1,0%
2018,2018 Qtr 2,2018 04,4,4,100%
2018,2018 Qtr 2,2018 04,5,32,100%
2018,2018 Qtr 2,2018 05,1,3,0%
2018,2018 Qtr 2,2018 05,2,5,0%
2018,2018 Qtr 2,2018 05,3,5,0%
2018,2018 Qtr 2,2018 05,4,19,100%
2018,2018 Qtr 2,2018 05,5,152,100%
2018,2018 Qtr 2,2018 06,1,1,0%
2018,2018 Qtr 2,2018 06,2,5,0%
2018,2018 Qtr 2,2018 06,3,7,0%
2018,2018 Qtr 2,2018 06,4,29,100%
2018,2018 Qtr 2,2018 06,5,201,100%
2018,2018 Qtr 3,2018 07,1,4,0%
2018,2018 Qtr 3,2018 07,2,5,0%
2018,2018 Qtr 3,2018 07,3,2,0%
2018,2018 Qtr 3,2018 07,4,23,100%
2018,2018 Qtr 3,2018 07,5,177,100%
2018,2018 Qtr 3,2018 08,1,2,0%
2018,2018 Qtr 3,2018 08,2,1,0%
2018,2018 Qtr 3,2018 08,4,3,100%
2018,2018 Qtr 3,2018 08,5,38,100%
2018,2018 Qtr 3,2018 09,2,2,0%
2018,2018 Qtr 3,2018 09,3,3,0%
2018,2018 Qtr 3,2018 09,4,4,100%
2018,2018 Qtr 3,2018 09,5,44,100%
2018,2018 Qtr 4,2018 10,1,1,0%
2018,2018 Qtr 4,2018 10,3,1,0%
2018,2018 Qtr 4,2018 10,4,3,100%
2018,2018 Qtr 4,2018 10,5,43,100%
2018,2018 Qtr 4,2018 11,4,1,100%
2018,2018 Qtr 4,2018 11,5,6,100%
2018,2018 Qtr 4,2018 12,1,1,0%
2018,2018 Qtr 4,2018 12,4,3,100%
2018,2018 Qtr 4,2018 12,5,22,100%
2019,2019 Qtr 1,2019 01,4,1,100%
2019,2019 Qtr 1,2019 01,5,10,100%
2019,2019 Qtr 1,2019 02,1,2,0%
2019,2019 Qtr 1,2019 02,3,3,0%
2019,2019 Qtr 1,2019 02,4,21,100%
2019,2019 Qtr 1,2019 02,5,117,100%
2019,2019 Qtr 1,2019 03,3,1,0%
2019,2019 Qtr 1,2019 03,4,6,100%
2019,2019 Qtr 1,2019 03,5,29,100%
2019,2019 Qtr 2,2019 04,1,1,0%
