Months Since Launch,Sum of TotalUnitsSold
1,19389.00
2,41448.00
3,24275.00
4,63552.00
5,48432.00
6,38188.00
7,48888.00
8,45473.00
9,33260.00
10,34064.00
11,27159.00
12,19037.00
13,43791.00
14,33022.00
15,36778.00
16,64010.00
17,63068.00
18,51657.00
19,44478.00
20,46451.00
21,36427.00
22,23214.00
23,28216.00
24,30007.00
25,48350.00
26,57016.00
27,50732.00
28,119880.00
29,99584.00
30,33972.00
31,55793.00
32,50677.00
33,39336.00
34,70792.00
35,62975.00
36,56417.00
37,63279.00
38,42676.00
39,36320.00
40,94861.00
41,67077.00
42,56627.00
43,64905.00
44,60218.00
45,50223.00
